Key,Summary,Components,Labels,Status,Sprint,Reporter,Assignee,Priority
ALC-2112,[Android][Production][User Interaction and Content Discovery Experience Features] - Incorrect UI on Now on TV Rail Poster Metadata,Android,Android;Android_BetaDrop5;Android_BetaDrop5v24.10.29(01);Beta_Drop5;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2019,[Web/Mobile Web][Production][Offer Type & Business Model] - TV Stick Receiver Wrong Deleting Phone Number Behavior ,Web,Beta_Drop4;ProjectA;UX;Web_BetaDrop4;Web_BetaDrop4v0.0.39;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajan Shergill,Critical (L1)
ALC-2018,[sooka TV Stick][Staging][User Interaction and Content Discovery Experience Features] - Incorrect Metadata on Landing Page.,TV Stick,Beta_Drop4;Metadata;ProjectA;TVStick_BetaDrop4;TVStick_BetaDrop4v24.10.25.01(01);post_launch,Open,Drop 13,Chong Wai Yip,Anmol Rajput,Critical (L1)
ALC-1967,[Android][iOS][Production][User Interaction and Content Discovery Experience Features] - Live-On Now Does Not Refresh ,Android;iOS,Android_BetaDrop3;Android_BetaDrop3v24.10.18(01);Beta_Drop3;ProjectA;UX;iOS_BetaDrop3;iOS_BetaDrop3v24.10.18(1);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-1960,[Web][Production][Player and Consumption Experience Features ] - Progress Bar Wrong Color ,Web,Beta_Drop3;ProjectA;UI;Web_BetaDrop3;Web_BetaDrop3v0.0.38;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajan Shergill,Critical (L1)
ALC-1791,[STV][LG][Production][Content Pages] - Episodic Progress Bar Not Reflecting Progress ,WebOS,Beta_Drop2;Postlaunch;ProjectA;STVLG_BetaDrop2v24.10.7;STV_BetaDrop2;UI;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Rahul Agarwal,Critical (L1)
ALC-1509,[ATV][Beta][Player and Consumption Experience Features] Player Overlay intermittently displays during 'Skip Intro/Credits' when it shouldn't,Android TV,ATV_BETAv0.10.7;ATV_Beta;BETA;Beta_Drop10;Beta_Drop7;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Farah Wahidah,Nandini Sen,Critical (L1)
ALC-1355,[ATV][Staging][User Interaction and Content Discovery Experience Features] - Incorrect Metadata on Linear Full EPG.,DP Backend,ATV_STGv0.2.1;Metadata;ProjectA;post_launch,Open,Drop 13,Farah Wahidah,Rahul Agarwal,High (L2)
ALC-1340,[STV][Staging][User Interaction and Content Discovery Experience Features] - Incorrect Metadata on Linear Full EPG.,WebOS,Beta_Drop2;Metadata;ProjectA;STVLG_BetaDrop2v24.10.7;STVSamsung_BetaDrop2v24.10.07;STVVIDAA_BetaDrop2v24.10.13;STV_BetaDrop2;STV_LG_STGv1.1.0;STV_STGv1.1.0;post_launch,Reopened,Drop 13,Aliff Danish,Rahul Agarwal,Critical (L1)
ALC-1008,[STV][LG][Staging][User Interaction and Content Discovery Experience Features] - Incorrect UI design on EPG page.,WebOS,ProjectA;STV_LG_STGv1.1.0;STV_STGv1.1.0;UI;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Rahul Agarwal,Critical (L1)
ALC-950,[Android][Staging][User Interaction and Content Discovery Experience Features]- TV Guide UI Issue,Android,Android_STGv0.2.3(27);ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-809,[iOS][Staging][User Interaction and Content Discovery Experience Features]- TV Guide UI Issue,iOS,ProjectA;UI;iOS_STGv0.0.1(27);post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajendra Singh,Critical (L1)
ALC-577,[Web][Staging][User Interaction and Content Discovery Experience Features] - TV Guide Broken ,Web,ProjectA;UI;Web_STGv1.54;post_launch,Open,Drop 13,NurZulaikha Iberahim,Rajan Shergill,Critical (L1)
